Player,,Goals ,Pen. ,O.g. ,Card ,Card ,Team 
163,Law Tsz Chun,-,-,-,1,-,Kitchee SC
164,Lee Ka Ho,-,-,-,1,-,Tai Po FC
165,Lee Ka Yiu,-,-,-,1,-,Southern District
166,Lee Lok Him,-,-,-,1,-,Hong Kong U23
167,Leung Chi Wing,-,-,-,1,-,Eastern AA
168,Leung Kwun Chung,-,-,-,1,-,Eastern AA
169,Leung Kwun-Chung,-,-,-,2,-,Eastern AA
170,Lima,-,-,-,1,-,Tai Po FC
171,Lo Kong Wai,-,-,-,1,-,Sham Shui Po SA
172,Lo Kong-Wai,-,-,-,1,-,Sham Shui Po SA
173,M. Fray,-,-,-,1,1,Hong Kong FC
174,M. Fung,-,-,-,3,-,Tai Po FC
175,M. H. Bah,-,-,-,1,-,Hong Kong FC
176,M. McMillan,-,-,-,5,-,Hong Kong FC
177,Manu Gavilán,-,-,-,1,-,Lee Man FC
178,N. Benavides,-,-,-,2,-,Sham Shui Po SA
179,Ngan Lok Fung,-,-,-,1,-,Lee Man FC
180,Ngan Lok-Fung,-,-,-,1,-,Lee Man FC
181,O. Gerbig,-,-,-,1,-,Kitchee SC
182,O. Oyuntuya,-,-,-,1,1,Sham Shui Po SA
183,P. K. Lai,-,-,-,4,-,Hong Kong U23
184,P. Ngue,-,-,-,1,-,Hong Kong FC
185,R. Depalmas,-,-,-,1,-,Hong Kong FC
186,R. Dujardin,-,-,-,5,-,Sham Shui Po SA
187,S. Antonic,-,-,-,1,-,Sham Shui Po SA
188,S. B. Ki,-,-,-,2,-,Resources Capital
189,S. Khan,-,-,-,2,1,Sham Shui Po SA
190,S. W. Chiu,-,-,-,1,-,Tai Po FC
191,Sim Woon-Seop,-,-,-,3,-,Sham Shui Po SA
192,Siu Ka Ming,-,-,-,2,-,Hong Kong FC
193,T. Chow,-,-,-,1,-,Hong Kong FC
194,T. Tang,-,-,-,1,-,Sham Shui Po SA
195,T. Wong,-,-,-,1,-,Tai Po FC
196,Tang In Chim,-,-,-,1,-,Hong Kong U23
197,Tang Kong Haang,-,-,-,2,-,Sham Shui Po SA
198,Tena,-,-,-,2,-,Resources Capital
199,Thiago,-,-,-,3,-,Sham Shui Po SA
200,Tomas,-,-,-,1,-,Southern District
201,Tsang Chung Nam,-,-,-,1,-,Resources Capital
202,Tsui Wang-Kit,-,-,-,6,1,Lee Man FC
203,W. Chu,-,-,-,1,-,Sham Shui Po SA
204,W. K. Sung,-,-,-,1,-,Hong Kong U23
205,Wong Chun-Ho,-,-,-,2,-,Lee Man FC
206,Wong Tsz Ho,-,-,-,1,-,Eastern AA
207,Wong Tsz-Chung,-,-,-,1,1,Sham Shui Po SA
208,Wong Tsz-Ho,-,-,-,1,-,Eastern AA
209,Y. Chau,-,-,-,2,-,Resources Capital
210,Y. T. Chan,-,-,-,2,-,Hong Kong U23
211,Yiu Ho Ming,-,-,-,1,-,HK Rangers
212,Yu Wai-Lim,-,-,-,2,-,Lee Man FC
213,Jesus Gonzalez,-,-,-,-,1,Sham Shui Po SA
